1	100.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	6.25	2.94	11.76	4.17	8.82	4.00	0.00	0.00	4.35	0.00	0.00	0.00	8.33	0.00	5.88	0.00	0.00	0.00	0.00	0.00	25.00	0.00	0.00	5.88	0.00	0.00	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	12.50	0.00	96.85
1	90.00	0.00	0.00	25.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	9.38	5.88	20.59	16.67	17.65	8.00	0.00	0.00	0.00	0.00	0.00	0.00	16.67	0.00	5.88	6.67	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	10.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	12.50	0.00	95.15
1	100.00	0.00	0.00	12.50	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.38	5.88	17.65	4.17	17.65	8.00	0.00	0.00	0.00	0.00	5.56	0.00	16.67	0.00	0.00	6.67	0.00	0.00	7.14	0.00	15.00	0.00	0.00	0.00	0.00	0.00	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	96.12
1	100.00	0.00	0.00	12.50	0.00	0.00	0.00	10.00	0.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.00	18.75	20.59	26.47	8.33	32.35	24.00	0.00	4.00	4.35	5.26	5.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.14	0.00	20.00	0.00	0.00	11.76	0.00	0.00	0.00	17.65	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	16.67	0.00	0.00	0.00	91.64
2	0.00	100.00	30.00	62.50	57.14	0.00	90.00	60.00	66.67	0.00	20.00	40.00	10.00	10.00	70.00	40.00	20.00	0.00	56.00	18.75	26.47	32.35	12.50	61.76	36.00	15.00	0.00	4.35	0.00	11.11	25.00	0.00	0.00	35.29	13.33	10.53	16.67	0.00	0.00	0.00	37.50	22.22	11.76	0.00	0.00	27.27	5.88	11.11	15.38	14.29	0.00	0.00	10.00	9.09	30.00	0.00	0.00	0.00	0.00	0.00	79.64
2	0.00	100.00	20.00	87.50	0.00	30.00	80.00	0.00	22.22	0.00	0.00	0.00	0.00	10.00	10.00	0.00	0.00	0.00	28.00	9.38	0.00	0.00	4.17	26.47	4.00	0.00	0.00	4.35	5.26	0.00	0.00	0.00	0.00	17.65	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	93.70
2	0.00	100.00	40.00	87.50	0.00	0.00	90.00	80.00	77.78	0.00	10.00	30.00	20.00	20.00	40.00	20.00	60.00	0.00	48.00	34.38	38.24	17.65	12.50	73.53	44.00	20.00	4.00	13.04	31.58	11.11	8.33	0.00	12.50	29.41	13.33	15.79	8.33	0.00	0.00	0.00	12.50	11.11	5.88	0.00	20.00	9.09	0.00	0.00	30.77	14.29	0.00	0.00	10.00	0.00	20.00	8.33	0.00	0.00	12.50	12.50	78.06
3	0.00	75.00	100.00	87.50	0.00	80.00	80.00	0.00	22.22	20.00	80.00	0.00	50.00	0.00	0.00	40.00	10.00	10.00	48.00	46.88	38.24	20.59	25.00	29.41	48.00	20.00	40.00	13.04	31.58	33.33	0.00	0.00	12.50	29.41	33.33	0.00	8.33	0.00	0.00	0.00	0.00	11.11	11.76	10.53	0.00	9.09	0.00	0.00	0.00	14.29	0.00	0.00	10.00	36.36	0.00	8.33	0.00	45.45	0.00	12.50	77.33
3	0.00	25.00	100.00	75.00	14.29	100.00	90.00	0.00	22.22	0.00	80.00	10.00	100.00	40.00	0.00	30.00	40.00	0.00	28.00	15.63	41.18	17.65	25.00	11.76	32.00	10.00	8.00	4.35	31.58	5.56	0.00	0.00	0.00	5.88	26.67	0.00	8.33	0.00	0.00	0.00	0.00	11.11	17.65	5.26	0.00	0.00	0.00	0.00	0.00	14.29	0.00	0.00	0.00	18.18	0.00	0.00	0.00	9.09	0.00	0.00	83.39
3	0.00	0.00	100.00	37.50	0.00	10.00	30.00	0.00	0.00	20.00	0.00	0.00	0.00	30.00	0.00	10.00	0.00	0.00	0.00	0.00	2.94	5.88	0.00	2.94	16.00	5.00	12.00	4.35	26.32	5.56	0.00	0.00	0.00	0.00	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	95.88
